Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,ASSET #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Laptop w/Bag,91812,ITS,12/15/2015,$83.00,$0.00,0.23,$19.09,$19.09,Successful,12/15/2015,,"99207D, 99827",,,Money Order,$3000,$0.00,$63.91,General Fund,0
Dell Laptop w/Bag,91813,ITS,12/15/2015,$68.00,$0.00,0.23,$15.64,$15.64,Successful,12/15/2015,,"99207E, 99826",,,Money Order,$3000,$0.00,$52.36,General Fund,0
Dell Laptop w/Bag,91814,ITS,12/15/2015,$79.01,$0.00,0.23,$18.17,$18.17,Successful,12/15/2015,,"99200A, 99828",,,Money Order,$3000,$0.00,$60.83,General Fund,0
Dell Laptop w/Bag,91816,ITS,12/15/2015,$74.00,$0.00,0.23,$17.02,$17.02,Successful,12/15/2015,,"99200B, 101176",,,Money Order,$3000,$0.00,$56.98,General Fund,0
Dell Laptop w/Bag,91817,ITS,12/15/2015,$81.02,$1.86,0.23,$18.63,$18.63,Successful,12/17/2015,,"99200C, 101168",,,3659701520,$3000,$0.00,$62.38,General Fund,0
Dell Laptop w/Bag,91818,ITS,12/15/2015,$79.01,$0.00,0.23,$18.17,$18.17,Successful,12/15/2015,,"99200D, 101179",,,Money Order,$3000,$0.00,$60.83,General Fund,0
Dell Laptop w/Bag,91819,ITS,12/15/2015,$84.25,$1.94,0.23,$19.37,$19.37,Successful,12/17/2015,,"99200E, 99831",,,3659701524,$3000,$0.00,$64.87,General Fund,0
Dell Computer,91821,CIRCUIT COURT CLERK,12/15/2015,$85.00,$1.96,0.23,$19.55,$19.55,Successful,12/15/2015,,100094,,,3659595739,$3000,$0.00,$65.45,General Fund,0
Dell Computer,91822,CIRCUIT COURT CLERK,12/15/2015,$82.00,$1.89,0.23,$18.86,$18.86,Successful,12/16/2015,,100092,,,3659659450,$3000,$0.00,$63.14,General Fund,0
Dell Computer,91824,CIRCUIT COURT CLERK,12/15/2015,$79.01,$1.82,0.23,$18.17,$18.17,Successful,12/16/2015,,100089,,,3659626716,$3000,$0.00,$60.83,General Fund,0
Dell Computer,91825,CIRCUIT COURT CLERK,12/15/2015,$81.01,$1.86,0.23,$18.63,$18.63,Successful,12/16/2015,,100098,,,3659659451,$3000,$0.00,$62.37,General Fund,0
Dell Computer,91827,CIRCUIT COURT CLERK,12/15/2015,$82.00,$1.89,0.23,$18.86,$18.86,Successful,12/15/2015,,100105,,,3659599239,$3000,$0.00,$63.14,General Fund,0
